Name,Unique visitors total,Daily-Visitors,Weekday-Visitors-Per_day,Weekend-Visitors-Per_day,Weekday-Morning,Weekday-Afternoon,Weekday-Night,Weekend-Morning,Weekend-Afternoon,Weekend-Night,Weekday-Morning-Per_day,Weekday-Afternoon-Per_day,Weekday-Night-Per_day,Weekend-Morning-Per_day,Weekend-Afternoon-Per_day,Weekend-Night-Per_day,Morning,Afternoon,Night
29,0.447827344,0.387519654,0.3711487,0.45323741,0.360166329,0.36103756,0.399361314,0.453266332,0.471194969,0.43615495,0.360166329,0.36103756,0.399361314,0.453266332,0.471194969,0.43615495,0.37646231,0.379006114,0.409523181
30,0.572345976,0.536200449,0.518366054,0.579568789,0.522755228,0.499618418,0.538659794,0.590457256,0.572232645,0.580170411,0.522755228,0.499618418,0.538659794,0.590457256,0.572232645,0.580170411,0.542525399,0.520614828,0.550853242
31,0.590036563,0.500670421,0.51065449,0.476839237,0.463878327,0.523351648,0.520123839,0.438502674,0.517080745,0.407407407,0.463878327,0.523351648,0.520123839,0.438502674,0.517080745,0.407407407,0.457223001,0.521428571,0.486899563
32,0.485926458,0.461702506,0.433560477,0.537878788,0.378818737,0.425702811,0.474103586,0.561307902,0.561122244,0.500853242,0.378818737,0.425702811,0.474103586,0.561307902,0.561122244,0.500853242,0.415217391,0.46268929,0.482074752
33,0.485502294,0.454105498,0.438499099,0.4899526,0.4277726,0.418286493,0.481795614,0.484724409,0.512325213,0.461475241,0.4277726,0.418286493,0.481795614,0.484724409,0.512325213,0.461475241,0.443149928,0.446537612,0.4749914
34,0.430229337,0.348409684,0.333259839,0.388176933,0.305414439,0.336535586,0.348358963,0.384093711,0.417615617,0.366392984,0.305414439,0.336535586,0.348358963,0.384093711,0.417615617,0.366392984,0.324725108,0.356270151,0.354305756
35,0.553698367,0.367507538,0.359685311,0.393194707,0.313119756,0.374202552,0.377378815,0.332878581,0.467986799,0.318574514,0.313119756,0.374202552,0.377378815,0.332878581,0.467986799,0.318574514,0.317436662,0.39595774,0.36270547
36,0.477569258,0.320878566,0.307618799,0.38575983,0.266964837,0.322695359,0.325255789,0.310740355,0.473214286,0.325433526,0.266964837,0.322695359,0.325255789,0.310740355,0.473214286,0.325433526,0.272605132,0.346067935,0.325297904
37,0.444587471,0.322137023,0.306147172,0.367557618,0.284098052,0.308709273,0.323123123,0.31366801,0.411524097,0.343388031,0.284098052,0.308709273,0.323123123,0.31366801,0.411524097,0.343388031,0.290672098,0.335495529,0.329064667
38,0.516447368,0.522883444,0.489154195,0.636466591,0.492987805,0.466690804,0.525242718,0.704170708,0.602965404,0.613830614,0.492987805,0.466690804,0.525242718,0.704170708,0.602965404,0.613830614,0.543493389,0.491243692,0.551290838
39,0.625952605,0.631841842,0.630081617,0.635521612,0.633501749,0.634608174,0.62343687,0.656970913,0.647017544,0.612050282,0.633501749,0.634608174,0.62343687,0.656970913,0.647017544,0.612050282,0.640056022,0.638929619,0.61982106
40,0.636695342,0.663635254,0.653547871,0.687017529,0.671356292,0.619680352,0.678966998,0.72372637,0.664663133,0.683965485,0.671356292,0.619680352,0.678966998,0.72372637,0.664663133,0.683965485,0.686518704,0.6331819,0.680530475
41,0.576259421,0.517046279,0.50605792,0.547743533,0.507032349,0.490064668,0.527409589,0.552965028,0.562433298,0.526972625,0.507032349,0.490064668,0.527409589,0.552965028,0.562433298,0.526972625,0.518861767,0.508041711,0.527283304
42,0.642816742,0.594071814,0.565596151,0.741501178,0.550924784,0.550805452,0.620509671,0.772791024,0.751066856,0.699530516,0.550924784,0.550805452,0.620509671,0.772791024,0.751066856,0.699530516,0.584102349,0.580519206,0.636894622
43,0.463510301,0.38497244,0.362663167,0.448885371,0.336619718,0.372772305,0.372573167,0.445621065,0.464832302,0.433224756,0.336619718,0.372772305,0.372573167,0.445621065,0.464832302,0.433224756,0.361089694,0.396625185,0.389912054
44,0.420122888,0.316637797,0.304507673,0.453074434,0.300520587,0.289598594,0.354502863,0.514071295,0.465,0.417467949,0.300520587,0.289598594,0.354502863,0.514071295,0.465,0.417467949,0.313188648,0.299308054,0.365711026
45,0.42897945,0.314535436,0.312823649,0.319441402,0.306028414,0.315141547,0.316409301,0.315201729,0.313210568,0.329104131,0.306028414,0.315141547,0.316409301,0.315201729,0.313210568,0.329104131,0.30843328,0.314683188,0.319960184
46,0.505729481,0.442588209,0.422531792,0.500526039,0.404029692,0.415687714,0.450281426,0.504823151,0.506199148,0.491025326,0.404029692,0.415687714,0.450281426,0.504823151,0.506199148,0.491025326,0.426602201,0.437412815,0.462903717
47,0.564438297,0.464934263,0.447580516,0.522677493,0.41398685,0.460336454,0.459222961,0.515888249,0.557948463,0.48074037,0.41398685,0.460336454,0.459222961,0.515888249,0.557948463,0.48074037,0.436294878,0.481850358,0.464799689
48,0.446608527,0.360573096,0.360127194,0.362660136,0.334408445,0.383995298,0.342329081,0.301265823,0.404657293,0.35029778,0.334408445,0.383995298,0.342329081,0.301265823,0.404657293,0.35029778,0.329502873,0.387310539,0.344177867
49,0.678553562,0.654616385,0.663357682,0.641769132,0.641726172,0.677211646,0.658174098,0.649461146,0.651633523,0.622038253,0.641726172,0.677211646,0.658174098,0.649461146,0.651633523,0.622038253,0.644462279,0.66593613,0.644347351
50,0.570111869,0.549207336,0.537216622,0.581764638,0.556345886,0.498092581,0.564521463,0.623931624,0.522972301,0.603351955,0.556345886,0.498092581,0.564521463,0.623931624,0.522972301,0.603351955,0.574789575,0.504450661,0.575430419
51,0.532921811,0.385160681,0.382372881,0.391575663,0.369426752,0.389558233,0.387351779,0.397959184,0.397260274,0.380530973,0.369426752,0.389558233,0.387351779,0.397959184,0.397260274,0.380530973,0.377811094,0.391910739,0.385245902
52,0.520183351,0.385686827,0.377737433,0.40389948,0.370068354,0.383715799,0.378818061,0.390294118,0.424664107,0.393756294,0.370068354,0.383715799,0.378818061,0.390294118,0.424664107,0.393756294,0.375926399,0.396614268,0.383379459
53,0.433965918,0.318569888,0.3064304,0.373767577,0.295115419,0.309469092,0.31309947,0.372724468,0.364613181,0.382204247,0.295115419,0.309469092,0.31309947,0.372724468,0.364613181,0.382204247,0.308407758,0.317203041,0.330311272
54,0.632935869,0.633462699,0.613281874,0.68040799,0.614150447,0.58783087,0.642373903,0.718161926,0.667685893,0.668933277,0.614150447,0.58783087,0.642373903,0.718161926,0.667685893,0.668933277,0.643903355,0.611140411,0.650900491
55,0.587144039,0.5099455,0.492105424,0.547979032,0.414914915,0.488899692,0.532209774,0.470404984,0.568455765,0.559356137,0.414914915,0.488899692,0.532209774,0.470404984,0.568455765,0.559356137,0.430356885,0.514520086,0.541306791
56,0.415418747,0.352315444,0.360481143,0.337903582,0.374946741,0.361997226,0.346545455,0.336134454,0.350259665,0.325,0.374946741,0.361997226,0.346545455,0.336134454,0.350259665,0.325,0.361050328,0.35759151,0.339007092
57,0.317460317,0.120009285,0.134462151,0.086419753,0.127638191,0.134311512,0.140583554,0.066326531,0.110854503,0.080679406,0.127638191,0.134311512,0.140583554,0.066326531,0.110854503,0.080679406,0.110310022,0.126611069,0.122971286
58,0.738608198,0.523033267,0.512985881,0.545686775,0.383275261,0.617771034,0.416216216,0.434782609,0.626589175,0.464285714,0.383275261,0.617771034,0.416216216,0.434782609,0.626589175,0.464285714,0.398698129,0.620566559,0.430343511
59,0.418422889,0.303383413,0.291263769,0.38565449,0.268406337,0.300751073,0.297209428,0.382107023,0.378329571,0.396747967,0.268406337,0.300751073,0.297209428,0.382107023,0.378329571,0.396747967,0.280936147,0.30899065,0.317112821
60,0.491630163,0.423341886,0.413713994,0.449648848,0.41897178,0.38987094,0.432880385,0.467080987,0.429467085,0.453770906,0.41897178,0.38987094,0.432880385,0.467080987,0.429467085,0.453770906,0.431697919,0.400162962,0.438700602
61,0.431068897,0.34051071,0.327442593,0.394030195,0.317247821,0.328196761,0.336612489,0.383168782,0.410018553,0.385404101,0.317247821,0.328196761,0.336612489,0.383168782,0.410018553,0.385404101,0.329167729,0.341573147,0.349384275
62,0.447783794,0.387771521,0.374131179,0.453977224,0.369267079,0.357248685,0.412104775,0.466086326,0.446827327,0.453739486,0.369267079,0.357248685,0.412104775,0.466086326,0.446827327,0.453739486,0.383747423,0.370102471,0.422053232
63,0.486936016,0.334461598,0.32845659,0.350128502,0.290877256,0.338913057,0.346356842,0.284935514,0.396881584,0.344819059,0.290877256,0.338913057,0.346356842,0.284935514,0.396881584,0.344819059,0.289377412,0.354692913,0.345894653
64,0.45656593,0.361882764,0.343247709,0.453604436,0.332720025,0.314796139,0.417737789,0.386416862,0.503643725,0.421860019,0.332720025,0.314796139,0.417737789,0.386416862,0.503643725,0.421860019,0.338937093,0.343321918,0.418772563
65,0.594441718,0.53806107,0.505593471,0.632622951,0.486060104,0.487277887,0.551223278,0.63918718,0.639792457,0.619219219,0.486060104,0.487277887,0.551223278,0.63918718,0.639792457,0.619219219,0.522571496,0.524530233,0.570710548
66,0.455351932,0.434143256,0.409105421,0.552536232,0.405135521,0.396271271,0.443546058,0.62154294,0.559186638,0.507211538,0.405135521,0.396271271,0.443546058,0.62154294,0.559186638,0.507211538,0.435520131,0.420215605,0.460411802
67,0.583833992,0.537215587,0.513798234,0.599438883,0.500262743,0.498618715,0.54898759,0.633086253,0.60298594,0.578060523,0.500262743,0.498618715,0.54898759,0.633086253,0.60298594,0.578060523,0.531843307,0.525477469,0.558348096
68,0.626422764,0.538152142,0.457385436,0.6312751,0.452030812,0.49584399,0.424601936,0.6464687,0.638277813,0.60505667,0.452030812,0.49584399,0.424601936,0.6464687,0.638277813,0.60505667,0.54263276,0.567670365,0.499909041
69,0.428935796,0.333970802,0.321004483,0.438016529,0.301475827,0.329679178,0.328362449,0.457399103,0.460106383,0.401337793,0.301475827,0.329679178,0.328362449,0.457399103,0.460106383,0.401337793,0.317367459,0.340793201,0.341143393
70,0.46978536,0.363473693,0.3387087,0.470691164,0.316104162,0.337595592,0.363957597,0.472078836,0.494329688,0.443246962,0.316104162,0.337595592,0.363957597,0.472078836,0.494329688,0.443246962,0.338498855,0.36404648,0.38452388
71,0.433267794,0.387808682,0.377210621,0.422445025,0.368033559,0.379179037,0.383814034,0.441562227,0.407779172,0.420839883,0.368033559,0.379179037,0.383814034,0.441562227,0.407779172,0.420839883,0.384727369,0.385030032,0.39407518
72,0.543385955,0.45337346,0.459507802,0.441499522,0.426754708,0.494091581,0.440791931,0.414152496,0.477461597,0.405499613,0.426754708,0.494091581,0.440791931,0.414152496,0.477461597,0.405499613,0.422868742,0.487943394,0.429309476
73,0.487494156,0.398210401,0.380364999,0.460437463,0.373790677,0.370024213,0.403314917,0.46250642,0.461905709,0.457155007,0.373790677,0.370024213,0.403314917,0.46250642,0.461905709,0.457155007,0.393488425,0.388012618,0.417448091
74,0.573816579,0.576345817,0.578164107,0.572104765,0.585257985,0.55211364,0.60349076,0.593030303,0.553255627,0.577727273,0.585257985,0.55211364,0.60349076,0.593030303,0.553255627,0.577727273,0.5875,0.552454687,0.595473833
75,0.564709319,0.531575072,0.525447359,0.547455859,0.541859246,0.49463569,0.545466573,0.578933978,0.519995757,0.548650345,0.541859246,0.49463569,0.545466573,0.578933978,0.519995757,0.548650345,0.551962008,0.501400719,0.546410622
76,0.507701724,0.440249348,0.421825548,0.482920393,0.385816354,0.427023411,0.443221831,0.510115607,0.47489083,0.478285392,0.385816354,0.427023411,0.443221831,0.510115607,0.47489083,0.478285392,0.419136161,0.442768651,0.453063163
77,0.58142888,0.578449809,0.563198805,0.618821058,0.570147916,0.539882375,0.599851888,0.67670537,0.6075,0.606116433,0.570147916,0.539882375,0.599851888,0.67670537,0.6075,0.606116433,0.595291096,0.558056713,0.601786019
78,0.548427106,0.426779485,0.411807268,0.460485039,0.375317229,0.432513156,0.419500595,0.444032445,0.478994083,0.450645337,0.375317229,0.432513156,0.419500595,0.444032445,0.478994083,0.450645337,0.395145112,0.447603496,0.428957827
79,0.584174967,0.45982965,0.447654125,0.49586055,0.42619552,0.455099502,0.457691818,0.480196589,0.522048236,0.47386172,0.42619552,0.455099502,0.457691818,0.480196589,0.522048236,0.47386172,0.439031094,0.472291551,0.46190282
80,0.365046536,0.223636168,0.220874787,0.233725265,0.215216323,0.222324773,0.22489244,0.234570766,0.247242051,0.220538385,0.215216323,0.222324773,0.22489244,0.234570766,0.247242051,0.220538385,0.219269264,0.227324017,0.223866573
81,0.46504089,0.38202756,0.373208396,0.402570362,0.361939562,0.369624142,0.386878834,0.391179541,0.415679639,0.397111158,0.361939562,0.369624142,0.386878834,0.391179541,0.415679639,0.397111158,0.369967044,0.384573137,0.389928866
82,0.407775255,0.34824139,0.332277213,0.389007719,0.327722772,0.315292812,0.357992999,0.394936709,0.383105802,0.389502085,0.327722772,0.315292812,0.357992999,0.394936709,0.383105802,0.389502085,0.346619217,0.331937173,0.36815055
83,0.433524585,0.284835745,0.278951918,0.30341891,0.2708187,0.27823027,0.288369208,0.291563931,0.30914679,0.307013674,0.2708187,0.27823027,0.288369208,0.291563931,0.30914679,0.307013674,0.275549754,0.285289317,0.293373589
84,0.481990521,0.30411289,0.301292447,0.312264754,0.283224769,0.305378832,0.312556323,0.285213033,0.346254795,0.300506033,0.283224769,0.305378832,0.312556323,0.285213033,0.346254795,0.300506033,0.28372652,0.315248123,0.309201257
85,0.635202693,0.601030374,0.592067333,0.623899028,0.593891613,0.57634006,0.609391323,0.648767308,0.613364055,0.61637931,0.593891613,0.57634006,0.609391323,0.648767308,0.613364055,0.61637931,0.608642368,0.586848473,0.611416969
86,0.504809094,0.343537791,0.333798644,0.364777269,0.315645359,0.340944012,0.342353716,0.344912255,0.401038251,0.34070632,0.315645359,0.340944012,0.342353716,0.344912255,0.401038251,0.34070632,0.324528715,0.360795711,0.341847991
87,0.582112511,0.473874103,0.476103835,0.468539907,0.472316915,0.501071072,0.449799886,0.477082733,0.487211268,0.438100392,0.472316915,0.501071072,0.449799886,0.477082733,0.487211268,0.438100392,0.473697395,0.496954688,0.446324505
88,0.675350463,0.601924593,0.595965734,0.615398254,0.543548247,0.609775053,0.613240418,0.582581227,0.631559114,0.611924408,0.543548247,0.609775053,0.613240418,0.582581227,0.631559114,0.611924408,0.554411303,0.61662127,0.612826205
89,0.483938256,0.316173851,0.291100887,0.412602503,0.269035533,0.301698571,0.299918167,0.41221374,0.438284519,0.378186969,0.269035533,0.301698571,0.299918167,0.41221374,0.438284519,0.378186969,0.296513331,0.329689175,0.317460317
90,0.409627842,0.288555653,0.27671432,0.314974997,0.264740336,0.273159579,0.290360733,0.309232481,0.333709344,0.300160514,0.264740336,0.273159579,0.290360733,0.309232481,0.333709344,0.300160514,0.278309248,0.292974037,0.293264372
91,0.424443353,0.315209362,0.313354819,0.319925615,0.298607392,0.320226843,0.319302177,0.311720088,0.33241506,0.313013836,0.298607392,0.320226843,0.319302177,0.311720088,0.33241506,0.313013836,0.30211263,0.323781468,0.317508437
92,0.466032989,0.335164286,0.318815514,0.363628068,0.243855289,0.362982153,0.281318245,0.311459354,0.403183942,0.324729127,0.243855289,0.362982153,0.281318245,0.311459354,0.403183942,0.324729127,0.268232386,0.377322388,0.297981651
93,0.541915656,0.502281889,0.488842061,0.533879008,0.48793577,0.487097613,0.491493897,0.542113648,0.532223504,0.528632752,0.48793577,0.487097613,0.491493897,0.542113648,0.532223504,0.528632752,0.503355502,0.501113472,0.502557545
94,0.411934497,0.314165062,0.311913788,0.31941777,0.290594254,0.313004614,0.327543424,0.301170213,0.33669169,0.313359135,0.290594254,0.313004614,0.327543424,0.301170213,0.33669169,0.313359135,0.293450158,0.320218185,0.323042392
95,0.586281412,0.560818692,0.552807913,0.579376617,0.57303765,0.514321333,0.573928232,0.606003431,0.557160293,0.580588277,0.57303765,0.514321333,0.573928232,0.606003431,0.557160293,0.580588277,0.582609129,0.52758418,0.575945311
96,0.502117728,0.432395064,0.42114759,0.467037131,0.410936052,0.400485601,0.459139,0.469834946,0.469707602,0.46183953,0.410936052,0.400485601,0.459139,0.469834946,0.469707602,0.46183953,0.425405481,0.415977385,0.459872442
97,0.41692007,0.277988595,0.271670222,0.292211256,0.263839476,0.276392334,0.274158971,0.289141268,0.302194762,0.284437684,0.263839476,0.276392334,0.274158971,0.289141268,0.302194762,0.284437684,0.271188152,0.284866289,0.277268152
98,0.414447874,0.34279699,0.328129317,0.387846898,0.31613536,0.32907783,0.338318819,0.393994874,0.395953142,0.375258205,0.31613536,0.32907783,0.338318819,0.393994874,0.395953142,0.375258205,0.332585487,0.344678525,0.349105288
99,0.427730153,0.356826241,0.345033002,0.386482114,0.34709516,0.328953481,0.360337373,0.390214315,0.384694755,0.385121457,0.34709516,0.328953481,0.360337373,0.390214315,0.384694755,0.385121457,0.359120383,0.344474239,0.367669811
100,0.403042029,0.315312173,0.305525224,0.354112554,0.290829819,0.306565117,0.318612667,0.352587244,0.360058007,0.348924023,0.290829819,0.306565117,0.318612667,0.352587244,0.360058007,0.348924023,0.302685533,0.316030646,0.326082251
101,0.415989954,0.294741106,0.283927029,0.314373961,0.27468442,0.281839339,0.293300423,0.304057524,0.328408008,0.305930711,0.27468442,0.281839339,0.293300423,0.304057524,0.328408008,0.305930711,0.284540702,0.300580252,0.297399009
102,0.437632135,0.280040923,0.272004106,0.301217039,0.269230769,0.270596851,0.276059565,0.313835771,0.324144487,0.26647001,0.269230769,0.270596851,0.276059565,0.313835771,0.324144487,0.26647001,0.281128113,0.285487708,0.273377338
103,0.488135226,0.37313191,0.368771579,0.383868462,0.358851395,0.379383439,0.365448869,0.387126158,0.39937667,0.362715432,0.358851395,0.379383439,0.365448869,0.387126158,0.39937667,0.362715432,0.366714515,0.385237087,0.364645371
104,0.382866836,0.2552,0.253475578,0.259115463,0.242911153,0.26386515,0.253603898,0.251615564,0.27361484,0.251306356,0.242911153,0.26386515,0.253603898,0.251615564,0.27361484,0.251306356,0.245527044,0.267040261,0.252931978
105,0.369998513,0.23497829,0.242011512,0.21956187,0.22280413,0.255798409,0.245205393,0.201318368,0.233306189,0.21972028,0.22280413,0.255798409,0.245205393,0.201318368,0.233306189,0.21972028,0.21644976,0.248376551,0.23726524
106,0.423896618,0.347282762,0.339003759,0.367103561,0.327806909,0.344829729,0.342814815,0.353121175,0.387142187,0.357914224,0.327806909,0.344829729,0.342814815,0.353121175,0.387142187,0.357914224,0.334750979,0.356860129,0.347712942
107,0.371210893,0.222569712,0.220078628,0.228926173,0.209476309,0.229414282,0.220408575,0.22492891,0.233454792,0.227990033,0.209476309,0.229414282,0.220408575,0.22492891,0.233454792,0.227990033,0.213741856,0.230544885,0.222594784
108,0.354111647,0.24586564,0.247647521,0.241522471,0.238661773,0.248823458,0.254067815,0.234737077,0.248085873,0.239338054,0.238661773,0.248823458,0.254067815,0.234737077,0.248085873,0.239338054,0.237583769,0.248612008,0.249509542
109,0.426542605,0.288636096,0.2764115,0.314691768,0.265709156,0.295213393,0.265321564,0.297683924,0.352511808,0.275755706,0.265709156,0.295213393,0.265321564,0.297683924,0.352511808,0.275755706,0.275467775,0.315525114,0.268349445
110,0.468211622,0.390449837,0.380473193,0.411052581,0.364936823,0.39310754,0.375734228,0.412709932,0.418051734,0.400501179,0.364936823,0.39310754,0.375734228,0.412709932,0.418051734,0.400501179,0.379425266,0.401310312,0.384180365
111,0.416988693,0.303268086,0.306321423,0.296442532,0.283785357,0.321708003,0.310663984,0.285845588,0.318738282,0.282392411,0.283785357,0.321708003,0.310663984,0.285845588,0.318738282,0.282392411,0.284418098,0.320767242,0.30209648
112,0.408225352,0.268200418,0.268101554,0.268423002,0.255902004,0.273676931,0.273816891,0.260990928,0.273118117,0.270177316,0.255902004,0.273676931,0.273816891,0.260990928,0.273118117,0.270177316,0.257421102,0.273495041,0.272729349
113,0.562159215,0.313186135,0.304246848,0.339105339,0.289459604,0.305781391,0.316709512,0.266115702,0.401832461,0.333802817,0.289459604,0.305781391,0.316709512,0.266115702,0.401832461,0.333802817,0.283751011,0.330423103,0.321280603
114,0.405115826,0.289833325,0.289228023,0.291142635,0.275877643,0.290682809,0.298869144,0.271566104,0.310105856,0.287950838,0.275877643,0.290682809,0.298869144,0.271566104,0.310105856,0.287950838,0.274579579,0.297102726,0.295428874
115,0.74165351,0.692300316,0.679457776,0.722306646,0.657685734,0.703835796,0.658042338,0.719870518,0.733837689,0.700861101,0.657685734,0.703835796,0.658042338,0.719870518,0.733837689,0.700861101,0.675571152,0.712758885,0.671993169
116,0.484445132,0.29925091,0.255403905,0.382672078,0.24355906,0.253732224,0.268700122,0.300086281,0.458100054,0.333653978,0.24355906,0.253732224,0.268700122,0.300086281,0.458100054,0.333653978,0.259937003,0.334499126,0.290123737
117,0.759495587,0.676182896,0.665488282,0.703057359,0.660659249,0.678845361,0.646720182,0.718398684,0.718073537,0.653912378,0.660659249,0.678845361,0.646720182,0.718398684,0.718073537,0.653912378,0.676589628,0.690016222,0.648861048
