id_left,$,$$,$$$,$$$$,$_%,$$_%,$$$_%,$$$$_%,cheap,expensive,average_price
251,0,1,1,0,0,0.5,0.5,0,0.5,0.5,2.5
254,0,1,1,0,0,0.5,0.5,0,0.5,0.5,2.5
258,0,2,0,0,0,1,0,0,1,0,2
260,4,0,1,0,0.8,0,0.2,0,0.8,0.2,1.4
268,1,0,0,0,1,0,0,0,1,0,1
275,0,5,0,0,0,1,0,0,1,0,2
281,0,3,0,0,0,1,0,0,1,0,2
290,0,1,0,0,0,1,0,0,1,0,2
300,0,1,0,0,0,1,0,0,1,0,2
310,0,1,0,0,0,1,0,0,1,0,2
321,0,0,1,0,0,0,1,0,0,1,3
327,0,1,0,0,0,1,0,0,1,0,2
331,0,0,1,0,0,0,1,0,0,1,3
336,2,0,0,0,1,0,0,0,1,0,1
340,1,0,0,0,1,0,0,0,1,0,1
367,0,3,0,0,0,1,0,0,1,0,2
372,0,2,0,0,0,1,0,0,1,0,2
430,0,1,0,0,0,1,0,0,1,0,2
572,2,0,0,0,1,0,0,0,1,0,1
574,0,1,0,0,0,1,0,0,1,0,2
578,2,0,0,0,1,0,0,0,1,0,1
